"CITATIONS","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK TYPE","ROCK CLASS","ROCK TEXTURE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14B","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","46.4","0.54","","11.72","","","","11.92","5.26","19.6","0.2","","0.56","2.16","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109","707","","","","446","","106","11","","","","","12","381","8","56","3","","","","","","","","","","","","","181","6.4","15.5","2.1","7.6","2.1","0.63","1.5","","1.4","0.26","0.8","0.11","0.6","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100509",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14K","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","45.8","0.64","","10.63","","","","11.79","5.07","21.4","0.19","","0.52","2.06","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109","1065","","","","643","","109","11","","","","","10","333","9","56","3","","","","","","","","","","","","","167","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100510",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14N","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","47.3","0.58","","10.94","","","","10.55","5.44","20.8","0.18","","0.71","1.67","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142","1308","","","","621","","94","20","","","","","14.8","316","17.8","53","2","","","","","","","","","","","","","186","6.5","12.4","1.6","7.1","1.9","0.59","1.7","","1.6","0.35","0.9","0.13","0.8","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100511",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX12A","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","52","1.3","","18.17","","","","8.75","8.77","5.47","0.16","","0.72","3.63","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","63","","","","39","","83","17","","","","","9.9","603","10.5","84","4.9","","","","","","","","","","","","","350","14.3","34.8","4.5","19","4.7","1.39","3.7","","3.1","0.6","1.4","0.2","1.2","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100512",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX12B","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","51.7","0.81","","18.02","","","","8.04","9.1","7.26","0.15","","0.49","3.57","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188","160","","","","107","","78","19","","","","","3.8","692","10.6","50","2","","","","","","","","","","","","","165","7","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100513",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14A","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","50.9","1","","17.75","","","","8.8","9.2","7.09","0.16","","0.29","3.25","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","","","","27.4","675","5.3","","","","","","","","","","","","","","","","6","15.2","2.1","8.7","2.6","1.04","2.3","","1.9","0.41","1.1","0.15","0.8","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100514",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14C","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","52.2","0.47","","18.9","","","","6.95","8.17","7.95","0.13","","0.78","3.11","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","6.2","672","11.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100515",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14D","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","52.3","0.91","","18.96","","","","7.96","9.26","5.21","0.16","","0.37","3.72","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157","72","","","","21","","85","15","","","","","9.5","647","4","38","2.7","","","","","","","","","","","","","245","9.5","22.5","3","12.1","3.2","1.32","2.5","","2.1","0.38","0.9","0.13","0.8","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100516",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14E","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","46.2","0.26","","23.41","","","","5.88","11.59","9.74","0.1","","0.34","1.57","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","189","","","","161","","57","19","","","","","","725","4.3","34","1.7","","","","","","","","","","","","","106","4.1","10","1.3","4.8","1.2","0.42","1","","0","0.18","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100517",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14H","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","46.9","0.7","","21.59","","","","8.02","10.24","7.64","0.11","","0.57","2.25","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193","213","","","","133","","74","","","","","","","734","","35","1.5","","","","","","","","","","","","","222","5.4","11.1","0","4.7","1.2","0.57","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100518",
