depth (m)	Rocktype	Au	Bi	Fe	Mg 
188.6-189	sandstone	0.01	0.73	3.83	1.13
189-90	sandstone	0.01	0.29	3.91	1.15
190-1	sandstone	0.01	0.27	2.77	0.66
191-2	sandstone	0.01	0.33	2.46	0.6
192-3	sandstone	0.01	0.75	3.59	0.98
193-4	sandstone	0.01	0.93	4.34	1.34
194-5	sandstone	0.01	0.64	4.16	1.13
195-6	sandstone	0.01	0.56	3.48	0.95
196-7	sandstone	0.01	0.45	3.38	0.84
197-8	sandstone	0.01	0.51	3.78	1.06
198-9	sandstone	0.01	0.4	4.04	1.12
199-200	sandstone	0.01	1.18	4.32	1.34
200-1	sandstone	0.01	0.55	3.67	1.09
201-2	sandstone	0.01	0.88	3.45	1.02
202-3	sandstone	0.01	1.18	4.02	1.19
203-4	sandstone	0.01	0.71	4.25	1.19
204-5	sandstone	0.01	1.42	3.78	1.16
213-4	sandstone	0.01	1.37	4.26	1.32
214-5	sandstone	0.01	0.43	4.65	1.44
215-6	sandstone	0.01	0.37	3.85	1.16
216-7	sandstone	0.01	0.16	2.83	1.07
217-8	sandstone	0.01	0.34	3	1.1
218-9	sandstone	0.01	3.88	5.44	1.12
219-20	sandstone	0.01	3.83	4.45	1.15
220-1	sandstone	0.01	0.92	3.28	1.23
221-2	sandstone	0.01	0.32	2.57	0.73
222-3	sandstone	0.01	0.38	2.65	0.76
223-4	sandstone	0.01	0.6	3.02	0.7
224-5	sandstone	0.09	0.6	3.94	1.26
225-6	sandstone	0.04	0.29	2.79	0.88
226-7	sandstone	0.07	0.4	2.91	1.04
227-8	sandstone	0.04	0.85	2.78	1.15
228-9	sandstone	0.01	0.43	2.33	0.66
229-30	sandstone	0.01	0.3	3.03	1.05
230-1	sandstone	0.01	0.45	2.92	0.99
231-2	sandstone	0.01	0.35	2.68	0.68
232-3	sandstone	0.01	0.53	3.6	1.1
233-4	sandstone	0.01	0.44	3.44	1.04
234-5	sandstone	0.01	0.24	3.09	0.88
235-6	sandstone	0.01	0.35	2.78	0.79
236-7	sandstone	0.01	0.48	3.29	0.98
237-8	sandstone	0.01	0.49	4.43	1.22
238-9	sandstone	0.1	1.18	4.18	1.18
241-2	sandstone	0.01	0.29	2.71	0.87
242-3	sandstone	0.01	0.23	3.17	0.93
243-4	sandstone	0.02	0.53	3.22	0.91
244-5	sandstone	0.17	0.87	3.17	0.98
245-6	sandstone	0.47	0.79	2.52	0.64
246-7	sandstone	0.01	0.23	2.31	0.62
247-8	sandstone	0.02	0.23	2.46	0.64
248-9	sandstone	0.01	0.19	2.2	0.62
249-50	sandstone	0.01	0.23	2.45	0.61
250-1	sandstone	0.02	0.15	2.16	0.55
251-2	sandstone	0.02	0.16	2.4	0.61
252-3	sandstone	0.01	0.16	2.42	0.79
253-4	sandstone	0.01	0.26	2.33	0.61
254-5	sandstone	0.01	0.32	2.7	0.66
255-6	sandstone	0.01	0.65	3.43	1.11
256-7	sandstone	0.04	0.28	3.36	0.99
257-8	sandstone	0.01	0.98	2.23	0.59
258-9	sandstone	0.01	0.34	2.89	0.82
259-60	sandstone	0.01	0.93	3.27	1.04
260-1	sandstone	0.01	0.5	3.07	0.91
261-2	sandstone	0.03	0.68	6.26	2.03
262-3	sandstone	0.03	0.43	5.02	1.73
263-4	sandstone	0.02	0.82	5.09	1.78
264-5	sandstone	0.06	1.21	4.92	1.7
265-6	sandstone	0.08	1.34	4.8	1.53
266-7	sandstone	0.1	0.77	5.33	1.86
267-8	sandstone	0.01	1.16	5.77	1.81
268-9	sandstone	0.01	0.8	5.31	1.76
269-70	sandstone	0.03	0.54	5.39	1.81
270-1	sandstone	0.01	0.44	2.27	0.56
271-2	sandstone	0.04	0.67	4.63	1.6
272-3	sandstone	0.01	0.41	2.96	0.95
273-4	sandstone	0.06	0.32	2.78	0.82
274-5	sandstone	0.01	0.2	2.62	0.98
275-6	sandstone	0.09	0.52	3.66	1.25
276-7	sandstone	0.04	0.55	3.64	1.12
277-8	sandstone	0.19	4.75	3.43	0.88
278-9	sandstone	0.01	1.2	2.52	0.65
279-80	sandstone	0.03	0.91	1.57	0.45
280-1	sandstone	0.01	0.31	1.7	0.46
281-2	sandstone	0.01	0.26	3.38	1.06
282-3	sandstone	0.01	0.45	3.75	1.06
283-4	sandstone	0.02	0.14	3.49	1.19
284-5	sandstone	0.01	0.33	3.26	0.87
285-6	sandstone	0.05	0.37	2.99	0.89
286-7	sandstone	0.04	0.22	2.95	0.95
287-8	sandstone	0.01	0.4	2.9	0.82
288-9	sandstone	0.01	0.3	2.72	0.89
289-90	sandstone	0.01	0.54	4.28	1.32
290-1	sandstone	0.01	0.52	3.88	1.32
291-2	sandstone	0.01	0.47	5.38	1.94
292-3	sandstone	0.01	0.61	5.36	2.03
293-4	sandstone	0.05	1	3.08	1
294-5	sandstone	0.09	0.4	2.42	0.63
295-6	sandstone	0.06	0.48	1.84	0.58
296-7	sandstone	0.01	0.98	2.11	0.56
297-8	sandstone	0.12	1.64	2.1	0.53
298-9	sandstone	1.24	16.5	2.67	0.71
299-300	sandstone	1.59	21.1	2.68	0.7
300-1	sandstone	2.77	23.9	2.35	0.52
301-2	sandstone	2.36	21.3	5.28	0.77
302-3	sandstone	0.19	1.62	2.34	0.53
303-4	sandstone	0.03	0.44	2.31	0.61
304-5	sandstone	0.03	0.72	3.8	1.23
305-6	sandstone	0.01	1.16	3.38	1.18
306-7	sandstone	0.04	0.33	2.23	0.73
307-8	sandstone	0.15	2.51	2.91	0.96
308-9	sandstone	0.07	2.05	2.29	0.56
309-10	sandstone	0.01	0.26	1.96	0.53
310-1	sandstone	0.14	1.56	2.22	0.59
311-2	sandstone	0.03	0.45	1.76	0.49
312-3	sandstone	0.01	0.25	1.88	0.47
313-4	sandstone	0.01	0.3	1.93	0.55
314-5	sandstone	0.01	0.33	2.04	0.63
315-6	sandstone	0.01	0.33	1.71	0.56
316-7	sandstone	0.03	0.86	1.94	0.53
317-8	sandstone	0.01	0.21	2.08	0.6
318-9	sandstone	0.01	0.26	2.13	0.63
319-20	sandstone	0.14	1.1	3.3	1.23
320-1	sandstone	0.01	0.66	2.57	0.91
321-2	sandstone	0.02	0.38	2.95	1.33
322-3	sandstone	0.15	1.26	3.4	1.56
323-4	sandstone	0.18	1.08	1.9	0.67
324-5	sandstone	0.03	0.88	2.02	0.7
325-6	sandstone	0.07	0.31	2.27	0.61
326-7	sandstone	0.02	0.7	1.85	0.51
327-8	sandstone	0.01	0.12	1.75	0.49
328-9	sandstone	0.01	0.17	1.84	0.54
329-30	sandstone	0.01	0.17	1.85	0.57
330-1	sandstone	0.01	0.25	2.06	0.62
331-2	sandstone	0.01	0.19	1.91	0.6
332-3	sandstone	0.01	0.32	1.91	0.6
333-4	sandstone	0.01	0.29	1.66	0.48
334-5	sandstone	0.01	0.28	1.72	0.49
335-6	sandstone	0.01	0.17	1.75	0.49
336-7	sandstone	0.01	0.52	1.75	0.61
337-8	sandstone	0.01	0.31	1.67	0.49
338-9	sandstone	0.01	0.28	1.73	0.49
339-40	sandstone	0.01	0.29	1.65	0.42
340-1	sandstone	0.01	0.54	1.97	0.52
341-2	sandstone	0.01	0.24	1.83	0.44
342-3	sandstone	0.01	0.11	1.2	0.37
343-4	sandstone	0.01	0.16	1.74	0.44
344-5	sandstone	0.01	0.2	1.6	0.46
345-6	sandstone	0.01	1.91	1.85	0.5
346-7	sandstone	0.01	3.38	1.53	0.43
347-8	sandstone	3.6	37.6	1.94	0.51
348-9	sandstone	0.81	10	1.58	0.41
349-50	sandstone	0.14	2.1	1.59	0.41
350-1	sandstone	0.02	0.43	1.57	0.4
351-2	sandstone	0.01	0.36	1.69	0.45
352-3	sandstone	0.01	0.46	1.93	0.53
353-4	sandstone	0.01	0.62	1.68	0.44
354-5	sandstone	0.04	0.99	1.67	0.42
355-6	sandstone	0.03	1.02	1.54	0.38
356-7	sandstone	0.01	0.1	1.52	0.37
357-8	sandstone	0.01	0.06	1.56	0.37
358-9	sandstone	0.01	0.15	1.8	0.41
359-60	sandstone	0.01	0.32	1.94	0.5
360-1	sandstone	0.09	1.15	1.69	0.55
361-2	sandstone	0.01	0.19	1.6	0.51
362-3	sandstone	0.01	0.11	1.89	0.53
363-4	sandstone	0.01	0.13	1.72	0.51
364-5	sandstone	0.01	0.17	1.88	0.74
365-6	sandstone	0.01	0.35	2.01	0.55
366-7	sandstone	0.01	0.09	1.49	0.45
367-8	sandstone	0.01	0.1	1.53	0.4
368-9	sandstone	0.02	0.11	1.42	0.39
369-70	sandstone	0.01	0.63	4.22	1.52
370-1	sandstone	0.01	0.71	1.78	0.53
371-2	sandstone	0.02	0.51	2.54	0.73
372-3	sandstone	0.05	0.28	4.23	1.61
