SiO2	MgO	La	Ce	Pr	Nd	Sm	Eu	Gd	Tb	Dy	Ho	Er	Tm	Yb	Lu
GV04c	48.19	7.86	9.5	19.8	2.68	14.6	4	1.27	4.66	0.81	4.94	1.04	2.76	0.42	2.7	0.41
GV18	47.66	7.89	7.7	15.8	2.13	11.8	3.4	1.17	4.26	0.72	4.46	0.98	2.81	0.41	2.69	0.42
GV21a	47.76	8.5	5.1	11.9	1.77	9.9	3.1	1.15	4.09	0.69	4.04	0.93	2.65	0.39	2.45	0.37
GV21b	47.41	8.38	5.1	11.5	1.7	10	3.4	1.17	4.02	0.7	4.09	0.94	2.65	0.38	2.49	0.38
GV29	48.11	6.72	17.7	39.8	5.25	24.6	6.8	2.26	7.13	1.31	7.61	1.61	4.5	0.66	4.03	0.64
GV40	46.14	8.34	15.4	35.1	4.25	21.6	5.4	1.98	6.17	0.99	6.12	1.29	3.36	0.53	3.25	0.52
GV42	46.83	6.95	13.6	29.5	3.69	19.4	5.4	1.82	6.35	0.97	6.27	1.27	3.57	0.51	3.23	0.52
GV44	47.14	8.03	11	22.5	2.83	14.7	3.8	1.28	3.96	0.67	4.16	0.88	2.29	0.34	2.16	0.32
GV46	48.04	5.99	16	36.1	4.47	23.5	6.6	2.12	6.58	1	6.19	1.17	3.09	0.46	2.63	0.41
GV47	49	6.14	15.9	35.4	4.3	22.8	6	2.02	6.22	0.96	5.57	1.11	2.94	0.41	2.69	0.4
GV58	49.17	8.38	6	12.6	1.72	8.3	2.7	0.86	3.59	0.66	3.82	0.87	2.4	0.37	2.38	0.39
GV68	52.17	7.06	12.5	25.3	3.2	15.8	4.4	1.17	5.17	0.85	4.89	1.09	3.17	0.51	3.03	0.5
GV74	48.22	8.26	0.6	3	0.55	5	2.4	0.84	2.93	0.4	3.13	0.78	2.21	0.38	1.52	0.31
GV75	47.83	9.14	2.4	6.1	0.98	6.3	2.8	0.87	2.75	0.55	3.14	0.7	2.22	0.33	1.82	0.36
GV77	47.29	9.44	3.2	7.4	1.11	5.4	2.4	0.97	2.71	0.51	3.07	0.67	2.3	0.34	2	0.32
GV83	46.96	7.54	14.1	33.3	4.51	20.7	5.3	1.81	5.64	1.01	6.08	1.13	3.57	0.53	3.32	0.49
GV87	47.33	8.42	4.5	12.7	1.79	9.1	3	1.09	4.01	0.71	4.66	0.96	3.1	0.46	2.9	0.39
GV88	50.32	7.42	11.1	24.7	3.02	13.6	3.5	1.2	4.14	0.76	4.46	0.89	2.76	0.41	2.76	0.4
GV90	47.81	7.48	5.2	16.6	2.13	11.8	3.6	1.3	4.81	0.88	5.2	1.05	3.17	0.47	2.99	0.42
GV27	48.55	9.22	3.6	9.7	1.43	8.4	2.8	1.28	4.25	0.76	4.7	0.97	3.04	0.39	2.78	0.4
