latitude	longitude	SiO2	TiO2	Al2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	H2O.PLUS	H2O.MINUS	CO2	Zr
BP1	-35.831168	148.576765	52.22	0.85	14.4	2.75	7.12	0.16	7.58	9.93	2.24	0.79	0.3	1.16	0.18	0.12	41
BP2	-35.829336	148.578943	55.94	0.75	15	2.17	6.44	0.13	5.42	8.3	2.71	1.59	0.21	0.84	0.11	0.15	89
BP3	-35.832025	148.580104	52.33	0.8	15.11	2.56	7.03	0.15	6.85	10.29	2.31	0.75	0.23	0.81	0.17	0.26	40
BP4	-35.831982	148.583424	54.55	0.73	14.43	2.82	5.98	0.14	6.25	9.1	2.02	1.48	0.31	1.22	0.22	0.18	72
BP5	-35.832011	148.581211	54.49	0.63	14.31	2.34	6.02	0.15	6.49	9.15	2.14	1.28	0.22	2.01	0.2	0.19	67
BP6	-35.832868	148.584549	61.45	0.57	14.2	2.11	3.92	0.1	4.18	6.3	2.61	2.57	0.2	1.16	0.12	0.21	130
BP7	-35.831953	148.585638	61.32	0.58	13.81	2.16	4.02	0.11	4.49	6.33	2.58	2.65	0.21	1.09	0.09	0.15	122
BP8	-35.844409	148.598066	70.94	0.29	13.71	1.09	1.39	0.05	1.19	2.53	2.7	4.67	0.09	0.76	0.11	0.15	136
BP10	-35.846093	148.606957	62.06	0.58	13.68	1.86	4.11	0.1	4.25	6.02	2.61	2.77	0.2	1.1	0.13	0.13	123
BP11	-35.852711	148.583836	72.37	0.25	13.14	1.08	1.1	0.04	0.96	1.86	2.87	4.77	0.06	0.89	0.14	0.34	114
BP12	-35.850908	148.5838	73.07	0.24	13.66	0.74	0.67	0.03	0.52	1.53	3.12	4.84	0.06	0.94	0.21	0.01	179
BP13	-35.850022	148.582675	70.64	0.33	13.44	1.21	1.4	0.05	1.46	2.57	2.86	4.5	0.09	0.78	0.15	0.16	133
BP14	-35.835572	148.584603	59.69	0.64	15.69	2.71	3.92	0.12	3.38	6.22	3.22	1.71	0.23	1.47	0.18	0.15	111
BP15	-35.837404	148.582425	62.02	0.56	15.15	2.24	3.49	0.1	3.55	5.91	3.1	2.17	0.22	0.93	0.12	0.16	118
BP16	-35.840108	148.582478	62.26	0.54	15.42	2.24	3.57	0.1	3.35	5.94	3.02	2.14	0.17	1	0.12	0.2	115
BP17	-35.854293	148.600479	72.55	0.24	13.34	0.77	1.22	0.03	0.88	1.96	2.63	4.97	0.06	0.68	0.13	0.25	148
BP18	-35.841009	148.582496	66.34	0.54	14.15	1.8	2.47	0.07	2.41	4.12	2.87	3.56	0.16	0.85	0.11	0.17	173
BP19	-35.84553	148.581479	69.03	0.4	13.67	1.42	1.78	0.06	1.7	3.1	2.88	4.17	0.11	0.67	0.12	0.37	155
BP20	-35.857188	148.58614	69.57	0.39	13.75	1.42	1.68	0.05	1.62	3	2.88	4.17	0.1	0.81	0.15	0.1	148
BP21	-35.859892	148.586194	67.55	0.49	14.06	1.65	2.15	0.07	2.15	3.69	2.93	3.77	0.14	0.9	0.15	0.12	164
BP22	-35.864369	148.588498	65.43	0.55	14.31	1.89	2.49	0.07	2.63	4.22	2.84	3.47	0.16	1.07	0.14	0.34	169
BP23	-35.866142	148.590749	61.97	0.56	14.72	2.18	3.52	0.1	3.56	5.99	3.03	2.25	0.2	1.08	0.15	0.24	121
BP24	-35.87248	148.58866	61.01	0.56	14.24	2.19	3.86	0.1	4.55	6.71	2.67	2.33	0.2	0.77	0.11	0.2	120
BP26	-35.876972	148.589858	61.16	0.6	13.65	2.21	4.09	0.11	4.48	6.26	2.54	2.57	0.2	1.41	0.18	0.27	127
BP27	-35.901799	148.552679	70.05	0.36	13.7	1.32	1.65	0.05	1.53	2.84	3.03	4.1	0.1	0.62	0.14	0.04	130
BP29	-35.893042	148.532565	63.12	0.63	14.42	2.07	3.23	0.09	3.34	5.09	2.84	2.99	0.18	1.07	0.17	0.13	153
BP30	-35.893042	148.532565	63.81	0.63	14	1.72	3.45	0.09	3.51	4.97	2.73	2.98	0.18	1.31	0.18	0.25	137
BP31	-35.907062	148.563864	68.27	0.46	13.91	1.61	2.12	0.07	2.09	3.44	2.92	4	0.13	0.69	0.16	0.01	158
BP32	-35.91215	148.588345	61.16	0.57	14.27	2.34	3.68	0.1	4.17	6.51	2.71	2.41	0.2	1.08	0.17	0.31	120
BP33	-35.868831	148.59191	61.13	0.57	14.35	2.19	3.81	0.1	4.26	6.55	2.71	2.39	0.21	1.17	0.18	0.22	116
BP34	-35.875037	148.599788	53.49	0.62	14.38	1.96	6.32	0.14	8.32	9.83	2.1	1.2	0.15	0.77	0.15	0.21	66
BP35	-35.878642	148.599861	60.58	0.62	14.68	2.29	3.99	0.1	3.9	6.32	2.63	2.55	0.2	1.86	0.19	0.01	127
BP36	-35.88043	148.601005	56.64	0.83	18.34	2.22	4.48	0.1	2.57	8.07	2.81	1.8	0.2	1.54	0.18	0.11	115
BP37	-35.881272	148.605453	56.1	0.7	15.55	2.09	5.5	0.12	5.8	8.56	2.43	1.61	0.18	1	0.16	0.18	86
