SiO2	TiO2	Al2O3	MnO	FeOt	MgO	CaO	Na2O	K2O	P2O5	Rb	Ba	Th	Nb	La	Ce	Nd	Sr	Sm	Zr	Eu	Gd	Dy	Y	Er	Yb	Cr	Sc
Chaumont1	46.23	2.26	13.77		11.79	10.72	10.63	2.90	1.11	0.59	30	364	5.7	55	45	88	38	587	8.1	245	2.3	6.2	4.5	25	2.0	1.6	307	31
Chaumont2	47.12	2.42	14.57		11.51	9.13	10.09	3.27	1.38	0.51	21	304	4.2	47	35	73	33	655	6.7	218	2.1	6.2	4.8	25	2.3	1.9	119	31
Chaumont3	46.66	2.35	13.23		11.85	11.11	10.17	2.81	1.33	0.49	24	289	4.0	41	34	69	31	616	6.9	213	2.0	5.5	4.1	22	1.9	1.8	120	26
Chaumont4	46.91	2.28	13.44		11.88	9.99	10.80	2.94	1.22	0.55	23	324	4.6	46	36	76	35	666	6.5	220	1.9	5.7	4.3	23	2.1	1.8	115	25
Chaumont5	44.97	2.67	15.01	0.14	11.63	9.45	10.63	3.34	1.52	0.642	34	521	7.2	59	53	98	38	728	6.2	218	1.9	5.2	4.1	21	2.0	1.7	427	25
Chaumont6	46.94	2.26	13.63		11.79	9.91	10.67	2.96	1.30	0.54	21	260	3.0	43	32	65	32	628	7.1	196	2.1	6.4	4.7	23	2.2	2.0	121	28
Chaumont7	46.76	2.07	13.99		11.58	10.00	10.60	3.12	1.37	0.52	19	239	2.6	40	29	58	28	571	6.0	178	1.7	5.5	3.8	21	1.9	2.0	211	26
Chaumont8	47.13	2.07	13.25		11.78	10.35	10.74	2.97	1.25	0.48	20	233	3.1	40	28	58	26	570	5.8	176	1.7	5.0	3.8	22	2.0	1.9	210	26
PuyVache1	48.86	1.87	12.94		11.53	11.62	9.42	2.82	0.95		24	289	3.2	41	28	58	30	496	5.9	167	1.9	5.6	4.4	21	1.7	1.9	115	32
PuyVache2	47.94	2.05	13.27		11.68	11.50	9.76	2.75	1.05		24	260	3.0	37	25	51	23	445	5.0	151	1.7	4.7	3.8	20	1.6	1.5	119	27
PuyVache3	46.63	2.22	12.73		12.06	11.96	10.48	2.68	1.24		38	404	5.3	57	36	71	32	509	6.5	188	2.0	5.5	4.4	22	2.4	2.0	90	30
PuyVache4	47.82	1.99	12.85		11.75	11.82	9.92	2.79	1.05		35	396	3.8	56	34	70	34	549	6.9	203	2.1	5.5	4.1	22	2.2	1.7	121	29
TroisSols1	46.53	2.34	13.09		12.10	10.42	11.24	2.94	1.33		41	517	5.9	59	40	76	34	569	6.8	191	2.4	6.8	5.5	24	2.6	2.1	84	30
TroisSols2	46.36	2.33	12.70		12.30	11.31	11.05	2.56	1.38		36	420	4.5	55	37	73	35	551	6.4	200	2.0	6.0	4.5	23	2.2	2.0	152	33
TroisSols3	46.34	2.48	13.53		12.14	10.07	11.31	2.86	1.27		39	413	4.2	56	38	75	34	561	6.5	192	2.1	6.5	4.7	25	2.2	1.9	99	35
Beaunit4	42.63	2.83	14.04		12.20	10.57	12.25	3.18	1.46	0.83	29	432	5.1	58	50	91	40	694	7.8	224	2.5	6.5	5.5	26	2.1	1.8	74	36
Beaunit5	43.98	2.58	13.52		12.10	10.79	11.71	3.15	1.44	0.73	32	455	6.0	60	51	97	45	733	9.9	246	2.8	7.8	5.1	27	2.4	2.0	75	36
Beaunit6	44.04	2.54	13.56		12.06	10.76	11.69	3.19	1.43	0.73	32	457	6.0	59	52	96	49	722	9.6	241	3.0	6.9	5.6	28	2.4	2.0	20	36
Beaunit7	42.99	3.09	14.86	0.15	12.13	10.11	12.06	3.25	1.36		37	524	6.6	61	51	99	44	854	9.4	244	2.7	7.4	6.4	29	2.5	2.2	21	35
