SiO2	Al2O3	FeOt	MgO	MnO	CaO	Na2O	K2O	TiO2	Rb	Sr	Ba	Zr	V	Ni	Y	La	Nb	Ta
a1	68.11614357	15.16834331	3.404504182	1.988317375	0.115577168	3.926562655	3.613516808	2.11950072	0.303986753	49.64207737	315.7567542	1017.151934	154.5128062	13.90924657	1.765200921	7.479445013	23.10176409	7.353097709	0.642105335
a10	67.99461589	15.09976941	2.789076878	1.520110951	0.115750832	3.352322204	3.600085908	2.20160757	0.188403741	56.0217103	296.2442887	1101.556829	106.9391008	9.607627631	1.154828298	6.617612399	26.15585414	7.733008567	0.649766471
a11	68.11404468	15.28396287	2.175966448	1.154872181	0.116057318	2.841998835	3.636950796	2.31359498	0.085743362	59.77503265	287.3232055	1099.037458	76.20984844	7.805286236	0.789933383	5.262431985	25.64027724	7.918612846	0.689893789
a12	57.87610956	17.11960468	6.526607782	4.036331505	0.110762526	6.613659593	3.57953162	1.415409039	0.832851632	34.39453565	534.9344145	674.7344205	152.000658	128.7883486	33.80116025	16.50986531	16.93521979	5.512658812	0.424680564
a13	56.5	17.08	6.9	4.24	0.11	7.08	3.54	1.31	0.88	30	570	620	140	200	50	18	18	5.5	0.4
a14	58.20916861	17.36744656	7.030094131	4.297805196	0.108658501	7.015363811	3.588388867	1.367313996	0.878203989	27.73680173	595.7242456	645.5212892	143.5120597	212.3898463	43.39212358	20.11508825	16.04261241	5.950287659	0.401294181
a15	58.10706011	17.39242425	6.530769292	3.950562316	0.110186234	6.902120996	3.6560241	1.446740012	0.831993701	32.82699458	534.1238496	644.6429631	156.0739263	157.3421494	31.55428382	16.24276675	18.91962194	5.441308221	0.444076491
a16	62.91604078	16.08879301	4.668099993	2.708086744	0.111607338	5.025600375	3.571493072	1.816069693	0.487688591	53.02874702	349.5249764	856.07921	235.3721382	27.58478739	3.819042299	9.345180104	22.14210615	6.968175418	0.541702874
a17	73.26418961	15.12004278	2.153912318	1.035262772	0.117833248	2.82016508	3.620096596	2.27703027	0.069861472	56.30946007	283.683221	1044.349616	72.1545181	6.908210695	0.758027	5.323464936	24.79581447	8.193428547	0.642475795
a18	72.10011743	15.7152419	2.607140427	1.373340657	0.120091804	3.185620358	3.674879402	2.199717526	0.153127166	59.18675859	290.8436241	1054.668755	88.17226699	8.941378544	1.024460907	6.157020305	24.1040575	7.197026208	0.654586169
