Volcano	symbol	Colour	Size	SiO2	TiO2	Al2O3	Fe2O3	MnO	MgO	CaO	Na2O	K2O	P2O5	Li	Be	Sc	V	Cr	Ni	Rb	Sr	Y	Zr	Nb	Ba	La	Ce	Nd	Sm	Eu	Gd	Dy	Er	Yb	Th	87Sr/86Sr	143Nd/144Nd
ATAC-4	Atacazo	16	24	1.3	57.28	0.67	16.5	8.48	0.12	5.42	7.12	3.52	0.76	0.14	11.4	0.59	22	189	238	62	14.3	422	12.9	66	2.4	355	6.7	15.2	9.8	2.45	0.76	2.3	2.2	1.25	1.22	0.9	0.704257	0.512854
ATAC-5	Atacazo	16	24	1.3	58.11	0.65	16.55	8.4	0.13	4.86	6.88	3.39	0.89	0.12	12	0.63	28	197	135	34	18.5	318	17.2	81	2.5	400	6.2	13.5	9.2	2.1	0.75	2.3	2.75	1.9	1.88	1.05	0.70434	0.512864
ATAC-6	Atacazo	16	24	1.3	58.65	0.65	16.11	8.06	0.12	5.21	6.81	3.4	0.85	0.13	13.3	0.64	23	186	215	56	17	363	15.6	80	2.9	400	7.5	16	10	2.7	0.8	2.7	2.65	1.5	1.45	1.2		
ATAC-7	Atacazo	16	24	1.3	59.01	0.65	17.05	7.18	0.11	4.25	7.05	3.68	0.89	0.12			24	166		38	19	362	16	91	2.9	384	6.9	12.5	8.9	2.41	0.78				1.5	1.2		
ATAC-8	Atacazo	16	24	1.3	59.19	0.59	16.34	7.81	0.11	4.32	7.06	3.53	0.91	0.14			21	195	138	40	15.8	380	13.8	82	3	500	7.4	16.5	10	2.55	0.78	2.55	2.45	1.3	1.25	1.05		
ATAC-9	Atacazo	16	24	1.3	59.29	0.64	16.36	7.81	0.11	4.65	6.69	3.44	0.87	0.13	13.3	0.68	22	176	185	42	17.6	365	15.7	82	2.9	425	8.5	17	11	3.05	0.85	3	2.75	1.55	1.5	1.3		
ATAC-10	Atacazo	16	24	1.3	59.44	0.67	15.85	7.83	0.12	4.9	6.71	3.38	0.98	0.12			20	136		60	20	351	13	90	3.4	406	7.4	14.5	7.4	2.36	0.76				0.48	1.3		
ATAC-11	Atacazo	16	24	1.3	59.6	0.62	16.37	7.87	0.11	4.23	6.59	3.61	0.86	0.14			21	190	125	33	11.3	394	13	87	3.2	475	7.2	17	9.8	2.45	0.79	2.6	2.3	1.2	1.16	1.15		
ATAC-12	Atacazo	16	24	1.3	59.87	0.64	16.07	7.64	0.11	4.84	6.43	3.46	0.79	0.14	10.6	0.66	23	175	230	57	16.5	360	13.9	82	3.1	410	7	15.5	9.3	2.7	0.76	2.75	2.3	1.4	1.34	1.2		
ATAC-13	Atacazo	16	24	1.3	60.07	0.69	16.02	7.71	0.1	4.21	6.61	3.59	0.85	0.15	10.9	0.68	17	176	168	43	16.7	399	11.7	79	3.3	385	8	17	10.8	3	0.84	2.8	2.1	1.1	0.95	1.25		
ATAC-14	Atacazo	16	24	1.3	60.19	0.64	16.25	7.8	0.12	3.85	6.8	3.34	0.89	0.13	13	0.68	19	184	125	34	20.8	352	14.8	82	3	520	8.4	18	11	2.8	0.81	2.7	2.6	1.4	1.33	1.25		
