La	Ce	Nd	Sm	Eu	Gd	Dy	Er	Yb	Rb	Ba	Th	K	Nb	Sr	Zr	Ti	Y	V	Cr	Ni
Cpx	0.099	0.193	0.42	0.75	0.99	0.91	1.2	1.9	0.9	0.0002	0.0001	0.15		0.005	0.1	0.29		1	1.1	8.4	4.8
Opx	0.1	0.15	0.2	0.25	0.16	0.28	0.44	0.62	0.88	0.0002	0.0001	0.13		0.001	0.003	0.1		0.6	0.6	1	4
Amp	0.4	0.58	1.26	2.07	1	2.49	2.87	3.6	4.2	0.7	0.8	0.5		0.25	0.02	0.45		4	3	8.4	7
Ab	0.49	0.34	0.29	0.17	0.725	0.24	0.45	0.38	0.3	0.16	0.08	0.05		0.00001	2	0.25		0.066	0.01	0.01	0.06
An	0.49	0.34	0.29	0.17	0.725	0.24	0.45	0.38	0.3	0.16	0.08	0.05		0.00001	2	0.25		0.066	0.01	0.01	0.06
Rt	0.22	0.26	0.3	0.35	0.26	0.28	0.28	0.22	0.24	0.00001	0.00001	0.1		0.00001	0.00001	0.8		0.00001	8.6	8.3	5.9
Mt	0.22	0.26	0.3	0.35	0.26	0.28	0.28	0.22	0.24	0.00001	0.00001	0.1		0.00001	0.00001	0.8		0.00001	8.6	8.3	5.9
Zrn	17	17	14	14	16	12	37	101	527	0.00001	0.00001	76	0.00001	140	0.00001	3750	0.00001	300	180	68	16
Bt	2.59	2.15	1.8	1.28	0.73	0.5	0.42	0.38	0.32	3.5	0.1	0.0001	1.6	0.16	3	2	0.9	1.3	10	25	10
amp2	1.2	1.52	4.26	7.77	5.14	10	13	12	8.4	0.7	0.8	0.5	0.33	0.25	0.02	0.45	4.2	8.4	3	8.4	7
