SiO2	TiO2	Al2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	FeOt
Cpx	51.11	0.48	2.68	11.3	0	0	14.16	19.89	0.37	0.01	0	10.1710171
Opx	54.62	0.12	2.05	12.77	0	0	28.9	1.5	0.03	0.01	0	11.49414941
Amp	48.83	1.43	8.25	18.36	0	0	10.52	10.91	1.29	0.41	0	16.52565257
Ab	68.49	0	19.58	0	0	0	0	0	11.53	0.40	0	0
An	42.67	0	36.35	0	0	0	0	20.58	0	0.40	0	0
Rt	0	100	0	0	0	0	0	0	0	0	0	0
Mt	0	0	0	100.00	0	0	0	0	0	0	0	95
Zrn	32.6	0.12	0.07	0.06	0	0	0.01	0.05	0	0	0	0.054005401
Bt	39.4	3.71	15.53	14.88	0	0	17.44	0	1.31	7.73	0	13.39333933
amp2	48.83	1.43	8.25	18.36	0	0	10.52	10.91	1.29	0.41	0	16.52565257
