	Size	Symbol	SiO2	TiO2	Al2O3	Fe2O3	MgO	CaO	Na2O	K2O	Rb	Sr	Zr	Ni	Cr	V	Melt_frac	Qtz	Kfs	Ab	An	Bt	Sil	Crd
MRG	2	15	63.12	0.97	16.46	7.63	3.24	1.5	2.44	4.66	178	238	250	62	118	100	0	26.24	10.85	19.56	7.11	34.55	1.69	0
QFG	2	15	70.85	0.41	15	3.27	1.39	1.11	4.85	3.13	65	142	90	19	45	48	0	28	11.1	40.8	5.3	14.8	0	0
SM-1	1.5	16	75.71	0.03	13.79	0.2	0.1	1.35	2.83	5.99	121	118	55	15	35	6	0.2							
SM-2	1.5	16	75.22	0.03	14.06	0.25	0.11	1.09	3.45	5.79	102	99	58	15	29	5	0.28							
SM-3	1.5	16	76.15	0.05	13.77	0.39	0.1	1.24	3.17	5.13	91	148	65	10	35	5	0.34							
SM-4	1.5	16	75.67	0.07	13.89	0.82	0.21	1.39	2.96	4.99	115	155	85	11	32	4	0.38							
SM-5	1.5	16	74.21	0.06	15.04	0.54	0.25	1.35	3.96	4.59	93	221	70	10	29	9	0.42							
SM-6	1.5	16	76.39	0.06	13.4	0.6	0.1	1.26	3.85	4.34	72	135	77	14	31	8	0.44							
SM-7	1.5	16	74.79	0.11	14.68	0.91	0.2	1.19	4.05	4.07	85	199	56	10	25	5	0.55							
SM-8	1.5	16	75.54	0.22	13.38	1.76	0.69	1.2	3.84	3.38	83	194	72	20	38	2	0.6							
SM-9	1.5	16	74.77	0.47	13.11	1.84	1.32	1.12	4.39	2.99	71	123	118	14	31	10	0.67							
SM-10	1.5	16	71.42	0.52	14.79	4.25	1.05	1.22	3.14	3.61	102	129	148	12	47	16	0.75							
SM-11	1.5	16	72.33	0.5	14.79	3.54	1	1.08	3.37	3.39	120	200	78	25	51	10	0.8							
SM-12	1.5	16	71.07	0.46	15.27	3.64	0.86	1.44	3.89	3.37	91	203	132	22	37	26	0.82							
SM-13	1.5	16	71.05	0.59	14.77	4.16	1.32	1.17	3.61	3.33	100	168	109	25	47	24	0.84							
SM-14	1.5	16	70.1	0.51	15.89	3.75	1.41	1.29	3.61	3.44	143	142	112	15	45	13	0.9							
SM-15	1.5	16	68.43	0.73	15.95	5.21	1.76	1.15	3.24	3.53	155	155	193	36	87	27	0.95							
SM-16	1.5	16	68.41	0.74	15.98	5.38	1.73	1.16	3.05	3.55	130	183	182	35	87	57	0.96							
SM-17	1.5	16	68.09	0.74	15.91	5.75	1.72	1.19	3.05	3.55	166	152	202	31	101	88	0.98							
